Stock,Year,Month,Dividends
ABBV,2017,Jan,0.64
ABBV,2017,Jul,0.64
ABBV,2017,Oct,0.64
ABBV,2018,Apr,0.96
ABBV,2018,Jan,0.71
ABBV,2018,Jul,0.96
ABBV,2018,Oct,0.96
ABBV,2019,Apr,1.07
ABBV,2019,Jan,1.07
ABBV,2019,Jul,1.07
ABBV,2019,Oct,2.14
ABC,2010,Aug,0.08
ABC,2010,Feb,0.08
ABC,2010,May,0.08
ABC,2010,Nov,0.1
ABC,2011,Aug,0.115
ABC,2011,Feb,0.1
ABC,2011,May,0.115
ABC,2011,Nov,0.13
ABC,2012,Aug,0.13
ABC,2012,Feb,0.13
ABC,2012,May,0.13
ABC,2012,Nov,0.21
ABC,2013,Aug,0.21
ABC,2013,Feb,0.21
ABC,2013,May,0.21
ABC,2013,Nov,0.235
ABC,2014,Aug,0.235
ABC,2014,Feb,0.235
ABC,2014,May,0.235
ABC,2014,Nov,0.29
ABC,2015,Aug,0.29
ABC,2015,Feb,0.29
ABC,2015,May,0.29
ABC,2015,Nov,0.34
ABC,2016,Aug,0.34
ABC,2016,Feb,0.34
ABC,2016,May,0.34
ABC,2016,Nov,0.365
ABC,2017,Aug,0.365
ABC,2017,Feb,0.365
ABC,2017,May,0.365
ABC,2017,Nov,0.38
ABC,2018,Aug,0.38
ABC,2018,Feb,0.38
ABC,2018,May,0.38
ABC,2018,Nov,0.4
ABC,2019,Aug,0.4
ABC,2019,Feb,0.4
ABC,2019,May,0.4
ABC,2019,Nov,0.4
ABCB,2014,Dec,0.05
ABCB,2014,Jul,0.05
ABCB,2014,Sep,0.05
ABCB,2015,Dec,0.05
ABCB,2015,Jun,0.05
ABCB,2015,Mar,0.05
ABCB,2015,Sep,0.05
ABCB,2016,Dec,0.1
ABCB,2016,Jun,0.05
ABCB,2016,Mar,0.05
ABCB,2016,Sep,0.1
ABCB,2017,Dec,0.1
ABCB,2017,Jun,0.1
ABCB,2017,Mar,0.1
ABCB,2017,Sep,0.1
ABCB,2018,Dec,0.1
ABCB,2018,Jun,0.1
ABCB,2018,Mar,0.1
ABCB,2018,Sep,0.1
ABCB,2019,Dec,0.15
ABCB,2019,Jun,0.1
ABCB,2019,Mar,0.1
ABCB,2019,Sep,0.15
ABEV,2010,Dec,0.74916
ABEV,2010,Mar,0.21313
ABEV,2010,May,8e-05
ABEV,2010,Sep,0.47793
ABEV,2011,Jul,0.0494
ABEV,2011,Jun,0.0018
ABEV,2011,Mar,0.335008
ABEV,2011,Oct,0.350047
ABEV,2012,Dec,0.396951
ABEV,2012,Jun,0.027111999999999997
ABEV,2012,Mar,0.327904
ABEV,2012,Oct,0.206165
ABEV,2013,Mar,0.0652
ABEV,2013,Sep,0.275493
ABEV,2014,Apr,0.057983
ABEV,2014,Jan,0.042369
ABEV,2014,Jul,0.026945
ABEV,2014,Oct,0.092538
ABEV,2015,Dec,0.039
ABEV,2015,Jan,0.083
ABEV,2015,Jun,0.033
ABEV,2015,Mar,0.031
ABEV,2015,Sep,0.035761
ABEV,2016,Dec,0.067
ABEV,2016,Feb,0.027
ABEV,2016,Jul,0.039616
ABEV,2016,Nov,0.047804
ABEV,2017,Dec,0.093373
ABEV,2017,Jan,0.022606
ABEV,2017,Jun,0.049309
ABEV,2018,Dec,0.081518
ABEV,2018,Feb,0.021539
ABEV,2018,Jun,0.042972
ABEV,2019,Dec,0.117
ABM,2010,Apr,0.135
ABM,2010,Jan,0.135
ABM,2010,Jun,0.135
ABM,2010,Oct,0.135
ABM,2011,Apr,0.14
ABM,2011,Jan,0.14
ABM,2011,Jul,0.14
ABM,2011,Oct,0.14
ABM,2012,Apr,0.145
ABM,2012,Dec,0.15
ABM,2012,Jan,0.145
ABM,2012,Jul,0.145
ABM,2012,Oct,0.145
ABM,2013,Apr,0.15
ABM,2013,Dec,0.155
ABM,2013,Jul,0.15
ABM,2013,Oct,0.15
ABM,2014,Apr,0.155
ABM,2014,Dec,0.16
ABM,2014,Jul,0.155
ABM,2014,Sep,0.155
ABM,2015,Jun,0.16
ABM,2015,Mar,0.16
ABM,2015,Sep,0.16
ABM,2016,Apr,0.165
ABM,2016,Jan,0.165
ABM,2016,Jul,0.165
ABM,2016,Oct,0.165
ABM,2017,Apr,0.17
ABM,2017,Jan,0.17
ABM,2017,Jul,0.17
ABM,2017,Oct,0.17
ABM,2018,Apr,0.175
ABM,2018,Jan,0.175
ABM,2018,Jul,0.175
ABM,2018,Oct,0.175
ABM,2019,Apr,0.18
ABM,2019,Dec,0.185
ABM,2019,Jan,0.18
ABM,2019,Jul,0.18
ABM,2019,Oct,0.18
ABR,2012,Aug,0.1
ABR,2012,May,0.075
ABR,2012,Nov,0.11
ABR,2013,Aug,0.13
ABR,2013,Mar,0.12
ABR,2013,May,0.12
ABR,2013,Nov,0.13
ABR,2014,Aug,0.13
ABR,2014,Feb,0.13
ABR,2014,May,0.13
ABR,2014,Nov,0.13
ABR,2015,Aug,0.15
ABR,2015,Feb,0.13
ABR,2015,May,0.15
ABR,2015,Nov,0.15
ABR,2016,Aug,0.16
ABR,2016,Mar,0.15
ABR,2016,May,0.15
ABR,2016,Nov,0.16
ABR,2017,Aug,0.18
ABR,2017,Mar,0.17
ABR,2017,May,0.18
ABR,2017,Nov,0.19
ABR,2018,Aug,0.25
ABR,2018,Dec,0.15
ABR,2018,Mar,0.21
ABR,2018,May,0.25
ABR,2018,Nov,0.27
ABR,2019,Aug,0.29
ABR,2019,Feb,0.27
ABR,2019,May,0.28
ABR,2019,Nov,0.3
ABT,2010,Apr,0.44
ABT,2010,Jan,0.4
ABT,2010,Jul,0.44
ABT,2010,Oct,0.44
ABT,2011,Apr,0.48
ABT,2011,Jan,0.44
ABT,2011,Jul,0.48
ABT,2011,Oct,0.48
ABT,2012,Apr,0.51
ABT,2012,Jan,0.48
ABT,2012,Jul,0.51
ABT,2012,Oct,0.51
ABT,2013,Apr,0.14
ABT,2013,Jan,0.14
ABT,2013,Jul,0.14
ABT,2013,Oct,0.14
ABT,2014,Apr,0.22
ABT,2014,Jan,0.22
ABT,2014,Jul,0.22
ABT,2014,Oct,0.22
ABT,2015,Apr,0.24
ABT,2015,Jan,0.24
ABT,2015,Jul,0.24
ABT,2015,Oct,0.24
ABT,2016,Apr,0.26
ABT,2016,Jan,0.26
ABT,2016,Jul,0.26
ABT,2016,Oct,0.26
ABT,2017,Apr,0.265
ABT,2017,Jan,0.265
ABT,2017,Jul,0.265
ABT,2017,Oct,0.265
ABT,2018,Apr,0.28
ABT,2018,Jan,0.28
ABT,2018,Jul,0.28
ABT,2018,Oct,0.28
ABT,2019,Apr,0.32
ABT,2019,Jan,0.32
ABT,2019,Jul,0.32
ABT,2019,Oct,0.32
AC,2016,Jun,0.1
AC,2017,Dec,0.1
AC,2017,Jan,0.1
AC,2017,Jun,0.1
AC,2018,Dec,0.1
AC,2018,Jun,0.1
AC,2019,Dec,0.1
AC,2019,Jun,0.1
ACA,2019,Apr,0.05
ACA,2019,Jan,0.05
ACA,2019,Jul,0.05
ACA,2019,Oct,0.1
ACC,2010,Aug,0.3375
ACC,2010,Feb,0.3375
ACC,2010,May,0.3375
ACC,2010,Nov,0.3375
ACC,2011,Aug,0.3375
ACC,2011,Feb,0.3375
ACC,2011,May,0.3375
ACC,2011,Nov,0.3375
ACC,2012,Aug,0.3375
ACC,2012,Feb,0.3375
ACC,2012,May,0.3375
ACC,2012,Nov,0.3375
ACC,2013,Aug,0.36
ACC,2013,Feb,0.3375
ACC,2013,May,0.36
ACC,2013,Nov,0.36
ACC,2014,Aug,0.38
ACC,2014,Feb,0.36
ACC,2014,May,0.38
ACC,2014,Nov,0.38
ACC,2015,Aug,0.4
ACC,2015,Feb,0.38
ACC,2015,May,0.4
ACC,2015,Nov,0.4
ACC,2016,Aug,0.42
ACC,2016,Feb,0.4
ACC,2016,May,0.42
ACC,2016,Nov,0.42
ACC,2017,Aug,0.44
ACC,2017,Feb,0.42
ACC,2017,May,0.44
ACC,2017,Nov,0.44
ACC,2018,Aug,0.46
ACC,2018,Feb,0.44
ACC,2018,May,0.46
ACC,2018,Nov,0.46
ACC,2019,Aug,0.47
ACC,2019,Jan,0.46
ACC,2019,May,0.47
ACC,2019,Nov,0.47
ACCO,2018,Aug,0.06
ACCO,2018,Feb,0.06
ACCO,2018,May,0.06
ACCO,2018,Nov,0.06
ACCO,2019,Aug,0.06
ACCO,2019,Mar,0.06
ACCO,2019,May,0.06
ACCO,2019,Nov,0.065
ACGLO,2017,Dec,0.507
ACGLO,2018,Dec,0.341
ACGLO,2018,Jun,0.341
ACGLO,2018,Mar,0.341
ACGLO,2018,Sep,0.341
ACGLO,2019,Dec,0.341
ACGLO,2019,Jun,0.341
ACGLO,2019,Mar,0.341
ACGLO,2019,Sep,0.341
ACGLP,2016,Dec,0.343
ACGLP,2017,Dec,0.328
ACGLP,2017,Jun,0.328
ACGLP,2017,Mar,0.321
ACGLP,2017,Sep,0.328
ACGLP,2018,Dec,0.328
ACGLP,2018,Jun,0.328
ACGLP,2018,Mar,0.328
ACGLP,2018,Sep,0.328
ACGLP,2019,Dec,0.328
ACGLP,2019,Jun,0.328
ACGLP,2019,Mar,0.328
ACGLP,2019,Sep,0.328
ACH,2011,Apr,0.044
ACN,2010,Apr,0.375
ACN,2010,Oct,0.45
ACN,2011,Apr,0.45
ACN,2011,Oct,0.675
ACN,2012,Apr,0.675
ACN,2012,Oct,0.81
ACN,2013,Apr,0.81
ACN,2013,Oct,0.93
ACN,2014,Apr,0.93
ACN,2014,Oct,1.02
ACN,2015,Apr,2.04
ACN,2015,Oct,1.1
ACN,2016,Apr,1.1
ACN,2016,Oct,1.21
ACN,2017,Apr,1.21
ACN,2017,Oct,1.33
ACN,2018,Apr,1.33
ACN,2018,Oct,1.46
ACN,2019,Apr,1.46
ACN,2019,Oct,0.8
ACNB,2010,Aug,0.19
ACNB,2010,Feb,0.19
ACNB,2010,May,0.19
ACNB,2010,Nov,0.19
ACNB,2011,Aug,0.19
ACNB,2011,Feb,0.19
ACNB,2011,May,0.19
ACNB,2011,Nov,0.19
ACNB,2012,Aug,0.19
ACNB,2012,Feb,0.19
ACNB,2012,May,0.19
ACNB,2012,Nov,0.19
ACNB,2013,Aug,0.19
ACNB,2013,Feb,0.19
ACNB,2013,May,0.19
ACNB,2013,Nov,0.19
ACNB,2014,Aug,0.19
ACNB,2014,Feb,0.19
ACNB,2014,May,0.19
ACNB,2014,Nov,0.2
ACNB,2015,Aug,0.2
ACNB,2015,Feb,0.2
ACNB,2015,May,0.2
ACNB,2015,Nov,0.2
ACNB,2016,Aug,0.2
ACNB,2016,Feb,0.2
ACNB,2016,May,0.2
ACNB,2016,Nov,0.2
ACNB,2017,Aug,0.2
ACNB,2017,Feb,0.2
ACNB,2017,May,0.2
ACNB,2017,Nov,0.2
ACNB,2018,Aug,0.23
ACNB,2018,Feb,0.2
ACNB,2018,May,0.23
ACNB,2018,Nov,0.23
ACNB,2019,Aug,0.25
ACNB,2019,Feb,0.23
ACNB,2019,May,0.25
ACNB,2019,Nov,0.25
ACRE,2012,Dec,0.25
ACRE,2012,Jun,0.06
ACRE,2012,Sep,0.06
ACRE,2013,Apr,0.25
ACRE,2013,Dec,0.25
ACRE,2013,Jun,0.25
ACRE,2013,Sep,0.25
ACRE,2014,Dec,0.25
ACRE,2014,Jun,0.25
ACRE,2014,Mar,0.25
ACRE,2014,Sep,0.25
ACRE,2015,Dec,0.25
ACRE,2015,Jun,0.25
ACRE,2015,Mar,0.25
ACRE,2015,Sep,0.25
ACRE,2016,Dec,0.26
ACRE,2016,Jun,0.26
ACRE,2016,Mar,0.26
ACRE,2016,Sep,0.26
ACRE,2017,Dec,0.27
ACRE,2017,Jun,0.27
ACRE,2017,Mar,0.27
ACRE,2017,Sep,0.27
ACRE,2018,Dec,0.31
ACRE,2018,Jun,0.28
ACRE,2018,Mar,0.28
ACRE,2018,Sep,0.29
ACRE,2019,Dec,0.33
ACRE,2019,Jun,0.33
ACRE,2019,Mar,0.33
ACRE,2019,Sep,0.33
ACTG,2013,Jul,0.125
ACTG,2013,May,0.125
ACTG,2013,Oct,0.125
ACTG,2014,Apr,0.125
ACTG,2014,Feb,0.125
ACTG,2014,Jul,0.125
ACTG,2014,Oct,0.125
ACTG,2015,Apr,0.125
ACTG,2015,Aug,0.125
ACTG,2015,Feb,0.125
ACTG,2015,Nov,0.125
ACU,2010,Jan,0.05
ACU,2010,Jun,0.05
ACU,2010,Mar,0.05
ACU,2010,Sep,0.06
ACU,2011,Apr,0.06
ACU,2011,Jan,0.06
ACU,2011,Jun,0.06
ACU,2011,Sep,0.07
ACU,2012,Apr,0.07
ACU,2012,Dec,0.07
ACU,2012,Jan,0.07
ACU,2012,Jun,0.07
ACU,2012,Sep,0.07
ACU,2013,Apr,0.07
ACU,2013,Jun,0.16
ACU,2013,Sep,0.08
ACU,2014,Apr,0.08
ACU,2014,Jan,0.08
ACU,2014,Jun,0.08
ACU,2014,Sep,0.09
ACU,2015,Jan,0.09
ACU,2015,Jun,0.09
ACU,2015,Mar,0.09
ACU,2015,Sep,0.09
ACU,2016,Jan,0.1
ACU,2016,Jun,0.1
ACU,2016,Mar,0.1
ACU,2016,Sep,0.1
ACU,2017,Jan,0.1
ACU,2017,Jul,0.11
ACU,2017,Mar,0.1
ACU,2017,Oct,0.11
ACU,2018,Jan,0.11
ACU,2018,Jun,0.11
ACU,2018,Mar,0.11
ACU,2018,Oct,0.11
ACU,2019,Apr,0.12
ACU,2019,Jan,0.12
ACU,2019,Jul,0.12
ACU,2019,Sep,0.12
ADC,2010,Dec,0.51
ADC,2010,Jun,0.51
ADC,2010,Mar,0.51
ADC,2010,Sep,0.51
ADC,2011,Dec,0.4
ADC,2011,Jun,0.4
ADC,2011,Mar,0.4
ADC,2011,Sep,0.4
ADC,2012,Dec,0.4
ADC,2012,Jun,0.4
ADC,2012,Mar,0.4
ADC,2012,Sep,0.4
ADC,2013,Dec,0.41
ADC,2013,Jun,0.41
ADC,2013,Mar,0.41
ADC,2013,Sep,0.41
ADC,2014,Dec,0.45
ADC,2014,Jun,0.43
ADC,2014,Mar,0.43
ADC,2014,Sep,0.43
ADC,2015,Dec,0.465
ADC,2015,Jun,0.465
ADC,2015,Mar,0.45
ADC,2015,Sep,0.465
ADC,2016,Dec,0.495
ADC,2016,Jun,0.48
ADC,2016,Mar,0.465
ADC,2016,Sep,0.48
ADC,2017,Dec,0.52
ADC,2017,Jun,0.505
ADC,2017,Mar,0.495
ADC,2017,Sep,0.505
ADC,2018,Dec,0.555
ADC,2018,Jun,0.54
ADC,2018,Mar,0.52
ADC,2018,Sep,0.54
ADC,2019,Dec,0.585
ADC,2019,Jun,0.57
ADC,2019,Mar,0.555
ADC,2019,Sep,0.57
ADES,2017,Aug,0.25
ADES,2017,Jun,0.25
ADES,2017,Nov,0.25
ADES,2018,Aug,0.25
ADES,2018,Feb,0.25
ADES,2018,May,0.25
ADES,2018,Nov,0.25
ADES,2019,Aug,0.25
ADES,2019,Feb,0.25
ADES,2019,May,0.25
ADES,2019,Nov,0.25
ADI,2010,Aug,0.22
ADI,2010,Dec,0.22
ADI,2010,Mar,0.2
ADI,2010,May,0.22
ADI,2011,Aug,0.25
ADI,2011,Mar,0.22
ADI,2011,May,0.25
ADI,2011,Nov,0.25
ADI,2012,Aug,0.3
ADI,2012,Dec,0.3
ADI,2012,Mar,0.3
ADI,2012,May,0.3
ADI,2013,Aug,0.34
ADI,2013,Dec,0.34
ADI,2013,Feb,0.34
ADI,2013,May,0.34
ADI,2014,Dec,0.37
ADI,2014,Feb,0.37
ADI,2014,May,0.37
ADI,2014,Sep,0.37
ADI,2015,Aug,0.4
ADI,2015,Dec,0.4
ADI,2015,Feb,0.4
ADI,2015,May,0.4
ADI,2016,Aug,0.42
ADI,2016,Feb,0.42
ADI,2016,May,0.42
ADI,2016,Nov,0.42
ADI,2017,Feb,0.45
ADI,2017,Jun,0.45
ADI,2017,Nov,0.45
ADI,2017,Sep,0.45
ADI,2018,Aug,0.48
ADI,2018,Jun,0.48
ADI,2018,Mar,0.48
ADI,2018,Nov,0.48
ADI,2019,Aug,0.54
ADI,2019,Dec,0.54
ADI,2019,Feb,0.54
ADI,2019,May,0.54
ADM,2010,Aug,0.15
ADM,2010,Feb,0.15
ADM,2010,May,0.15
ADM,2010,Nov,0.15
ADM,2011,Aug,0.16
ADM,2011,Feb,0.16
ADM,2011,May,0.16
ADM,2011,Nov,0.175
ADM,2012,Aug,0.175
ADM,2012,Feb,0.175
ADM,2012,May,0.175
ADM,2012,Nov,0.175
ADM,2013,Aug,0.19
ADM,2013,Feb,0.19
ADM,2013,May,0.19
ADM,2013,Nov,0.19
ADM,2014,Aug,0.24
ADM,2014,Feb,0.24
ADM,2014,May,0.24
ADM,2014,Nov,0.24
ADM,2015,Aug,0.28
ADM,2015,Feb,0.28
ADM,2015,May,0.28
ADM,2015,Nov,0.28
ADM,2016,Aug,0.3
ADM,2016,Feb,0.3
ADM,2016,May,0.3
ADM,2016,Nov,0.3
ADM,2017,Aug,0.32
ADM,2017,Feb,0.32
ADM,2017,May,0.32
ADM,2017,Nov,0.32
ADM,2018,Aug,0.335
ADM,2018,Feb,0.335
ADM,2018,May,0.335
ADM,2018,Nov,0.335
ADM,2019,Aug,0.35
ADM,2019,Feb,0.35
ADM,2019,May,0.35
ADM,2019,Nov,0.35
ADNT,2017,Jul,0.275
ADNT,2017,Mar,0.275
ADNT,2017,Oct,0.275
ADNT,2018,Apr,0.275
ADNT,2018,Jan,0.275
ADNT,2018,Jul,0.275
ADNT,2018,Oct,0.275
ADP,2010,Dec,0.31607
ADP,2010,Jun,0.29851
ADP,2010,Mar,0.29851
ADP,2010,Sep,0.29851
ADP,2011,Dec,0.3468
ADP,2011,Jun,0.31607
ADP,2011,Mar,0.31607
ADP,2011,Sep,0.31607
ADP,2012,Dec,0.38191
ADP,2012,Jun,0.3468
ADP,2012,Mar,0.3468
ADP,2012,Sep,0.3468
ADP,2013,Dec,0.42142
ADP,2013,Jun,0.38191
ADP,2013,Mar,0.38191
ADP,2013,Sep,0.38191
ADP,2014,Dec,0.49
